x,Sol_ap,Sol_exact
0.003792,47.9506,47.947
0.0038,47.9451,47.9415
0.003808,47.9396,47.936
0.003816,47.9341,47.9305
0.003824,47.9286,47.925
0.003832,47.9231,47.9195
0.00384,47.9176,47.914
0.003848,47.9121,47.9085
0.003856,47.9066,47.903
0.003864,47.9011,47.8975
0.003872,47.8956,47.892
0.00388,47.8901,47.8865
0.003888,47.8846,47.881
0.003896,47.8791,47.8755
0.003904,47.8736,47.87
0.003912,47.8681,47.8645
0.00392,47.8626,47.859
0.003928,47.8571,47.8535
0.003936,47.8516,47.848
0.003944,47.8461,47.8425
0.003952,47.8406,47.837
0.00396,47.8351,47.8315
0.003968,47.8296,47.8261
0.003976,47.8242,47.8206
0.003984,47.8187,47.8151
0.003992,47.8132,47.8096
0.004,47.8077,47.8041
0.004008,47.8022,47.7986
0.004016,47.7967,47.7932
0.004024,47.7913,47.7877
0.004032,47.7858,47.7822
0.00404,47.7803,47.7767
0.004048,47.7748,47.7713
0.004056,47.7694,47.7658
0.004064,47.7639,47.7603
0.004072,47.7584,47.7548
0.00408,47.7529,47.7494
0.004088,47.7475,47.7439
0.004096,47.742,47.7384
0.004104,47.7365,47.733
0.004112,47.7311,47.7275
0.00412,47.7256,47.722
0.004128,47.7201,47.7166
0.004136,47.7147,47.7111
0.004144,47.7092,47.7056
0.004152,47.7037,47.7002
0.00416,47.6983,47.6947
0.004168,47.6928,47.6893
0.004176,47.6874,47.6838
0.004184,47.6819,47.6784
0.004192,47.6765,47.6729
0.0042,47.671,47.6674
0.004208,47.6656,47.662
0.004216,47.6601,47.6565
0.004224,47.6547,47.6511
0.004232,47.6492,47.6456
0.00424,47.6438,47.6402
0.004248,47.6383,47.6348
0.004256,47.6329,47.6293
0.004264,47.6274,47.6239
0.004272,47.622,47.6184
0.00428,47.6165,47.613
0.004288,47.6111,47.6075
0.004296,47.6057,47.6021
0.004304,47.6002,47.5967
0.004312,47.5948,47.5912
0.00432,47.5893,47.5858
0.004328,47.5839,47.5804
0.004336,47.5785,47.5749
0.004344,47.573,47.5695
0.004352,47.5676,47.5641
0.00436,47.5622,47.5586
0.004368,47.5568,47.5532
0.004376,47.5513,47.5478
0.004384,47.5459,47.5423
0.004392,47.5405,47.5369
0.0044,47.535,47.5315
0.004408,47.5296,47.5261
0.004416,47.5242,47.5207
0.004424,47.5188,47.5152
0.004432,47.5134,47.5098
0.00444,47.5079,47.5044
0.004448,47.5025,47.499
0.004456,47.4971,47.4936
0.004464,47.4917,47.4881
0.004472,47.4863,47.4827
0.00448,47.4809,47.4773
0.004488,47.4755,47.4719
0.004496,47.47,47.4665
0.004504,47.4646,47.4611
0.004512,47.4592,47.4557
0.00452,47.4538,47.4503
0.004528,47.4484,47.4449
0.004536,47.443,47.4395
0.004544,47.4376,47.4341
0.004552,47.4322,47.4287
0.00456,47.4268,47.4233
0.004568,47.4214,47.4179
0.004576,47.416,47.4125
0.004584,47.4106,47.4071
0.004592,47.4052,47.4017
0.0046,47.3998,47.3963
0.004608,47.3944,47.3909
0.004616,47.389,47.3855
0.004624,47.3836,47.3801
0.004632,47.3782,47.3747
0.00464,47.3728,47.3693
0.004648,47.3675,47.3639
0.004656,47.3621,47.3585
0.004664,47.3567,47.3532
0.004672,47.3513,47.3478
0.00468,47.3459,47.3424
0.004688,47.3405,47.337
0.004696,47.3352,47.3316
0.004704,47.3298,47.3262
0.004712,47.3244,47.3209
0.00472,47.319,47.3155
0.004728,47.3136,47.3101
0.004736,47.3083,47.3047
0.004744,47.3029,47.2994
0.004752,47.2975,47.294
0.00476,47.2921,47.2886
0.004768,47.2868,47.2832
0.004776,47.2814,47.2779
0.004784,47.276,47.2725
0.004792,47.2707,47.2671
0.0048,47.2653,47.2618
0.004808,47.2599,47.2564
0.004816,47.2546,47.251
0.004824,47.2492,47.2457
0.004832,47.2438,47.2403
0.00484,47.2385,47.235
0.004848,47.2331,47.2296
0.004856,47.2278,47.2242
0.004864,47.2224,47.2189
0.004872,47.217,47.2135
0.00488,47.2117,47.2082
0.004888,47.2063,47.2028
0.004896,47.201,47.1975
0.004904,47.1956,47.1921
0.004912,47.1903,47.1868
0.00492,47.1849,47.1814
0.004928,47.1796,47.1761
0.004936,47.1742,47.1707
0.004944,47.1689,47.1654
0.004952,47.1635,47.16
0.00496,47.1582,47.1547
0.004968,47.1529,47.1493
0.004976,47.1475,47.144
0.004984,47.1422,47.1387
0.004992,47.1368,47.1333
0.005,47.1315,47.128
0.005008,47.1262,47.1227
0.005016,47.1208,47.1173
0.005024,47.1155,47.112
0.005032,47.1102,47.1067
0.00504,47.1048,47.1013
0.005048,47.0995,47.096
0.005056,47.0942,47.0907
0.005064,47.0888,47.0853
0.005072,47.0835,47.08
0.00508,47.0782,47.0747
0.005088,47.0729,47.0694
0.005096,47.0675,47.064
0.005104,47.0622,47.0587
0.005112,47.0569,47.0534
0.00512,47.0516,47.0481
0.005128,47.0462,47.0427
0.005136,47.0409,47.0374
0.005144,47.0356,47.0321
0.005152,47.0303,47.0268
0.00516,47.025,47.0215
0.005168,47.0197,47.0162
0.005176,47.0143,47.0109
0.005184,47.009,47.0055
0.005192,47.0037,47.0002
0.0052,46.9984,46.9949
0.005208,46.9931,46.9896
0.005216,46.9878,46.9843
0.005224,46.9825,46.979
0.005232,46.9772,46.9737
0.00524,46.9719,46.9684
0.005248,46.9666,46.9631
0.005256,46.9613,46.9578
0.005264,46.956,46.9525
0.005272,46.9507,46.9472
0.00528,46.9454,46.9419
0.005288,46.9401,46.9366
0.005296,46.9348,46.9313
0.005304,46.9295,46.926
0.005312,46.9242,46.9207
0.00532,46.9189,46.9154
0.005328,46.9136,46.9101
0.005336,46.9083,46.9048
0.005344,46.903,46.8996
0.005352,46.8977,46.8943
0.00536,46.8925,46.889
0.005368,46.8872,46.8837
0.005376,46.8819,46.8784
0.005384,46.8766,46.8731
0.005392,46.8713,46.8678
0.0054,46.866,46.8626
0.005408,46.8608,46.8573
0.005416,46.8555,46.852
0.005424,46.8502,46.8467
0.005432,46.8449,46.8415
0.00544,46.8397,46.8362
0.005448,46.8344,46.8309
0.005456,46.8291,46.8256
0.005464,46.8238,46.8204
0.005472,46.8186,46.8151
0.00548,46.8133,46.8098
0.005488,46.808,46.8046
0.005496,46.8028,46.7993
0.005504,46.7975,46.794
0.005512,46.7922,46.7888
0.00552,46.787,46.7835
0.005528,46.7817,46.7782
0.005536,46.7764,46.773
0.005544,46.7712,46.7677
0.005552,46.7659,46.7624
0.00556,46.7607,46.7572
0.005568,46.7554,46.7519
0.005576,46.7501,46.7467
0.005584,46.7449,46.7414
0.005592,46.7396,46.7362
0.0056,46.7344,46.7309
0.005608,46.7291,46.7257
0.005616,46.7239,46.7204
0.005624,46.7186,46.7152
0.005632,46.7134,46.7099
0.00564,46.7081,46.7047
0.005648,46.7029,46.6994
0.005656,46.6976,46.6942
0.005664,46.6924,46.6889
0.005672,46.6872,46.6837
0.00568,46.6819,46.6785
0.005688,46.6767,46.6732
0.005696,46.6714,46.668
0.005704,46.6662,46.6627
0.005712,46.661,46.6575
0.00572,46.6557,46.6523
0.005728,46.6505,46.647
0.005736,46.6453,46.6418
0.005744,46.64,46.6366
0.005752,46.6348,46.6313
0.00576,46.6296,46.6261
0.005768,46.6243,46.6209
0.005776,46.6191,46.6156
0.005784,46.6139,46.6104
0.005792,46.6086,46.6052
0.0058,46.6034,46.6
0.005808,46.5982,46.5947
0.005816,46.593,46.5895
0.005824,46.5878,46.5843
0.005832,46.5825,46.5791
0.00584,46.5773,46.5739
0.005848,46.5721,46.5686
0.005856,46.5669,46.5634
0.005864,46.5617,46.5582
0.005872,46.5564,46.553
0.00588,46.5512,46.5478
0.005888,46.546,46.5426
0.005896,46.5408,46.5374
0.005904,46.5356,46.5322
0.005912,46.5304,46.5269
0.00592,46.5252,46.5217
0.005928,46.52,46.5165
0.005936,46.5148,46.5113
0.005944,46.5096,46.5061
0.005952,46.5044,46.5009
0.00596,46.4992,46.4957
0.005968,46.494,46.4905
0.005976,46.4888,46.4853
0.005984,46.4836,46.4801
0.005992,46.4784,46.4749
0.006,46.4732,46.4697
0.006008,46.468,46.4645
0.006016,46.4628,46.4593
0.006024,46.4576,46.4541
0.006032,46.4524,46.4489
0.00604,46.4472,46.4438
0.006048,46.442,46.4386
0.006056,46.4368,46.4334
0.006064,46.4316,46.4282
0.006072,46.4264,46.423
0.00608,46.4213,46.4178
0.006088,46.4161,46.4126
0.006096,46.4109,46.4075
0.006104,46.4057,46.4023
0.006112,46.4005,46.3971
0.00612,46.3953,46.3919
0.006128,46.3902,46.3867
0.006136,46.385,46.3816
0.006144,46.3798,46.3764
0.006152,46.3746,46.3712
0.00616,46.3695,46.366
0.006168,46.3643,46.3609
0.006176,46.3591,46.3557
0.006184,46.3539,46.3505
0.006192,46.3488,46.3453
0.0062,46.3436,46.3402
0.006208,46.3384,46.335
0.006216,46.3333,46.3298
0.006224,46.3281,46.3247
0.006232,46.3229,46.3195
0.00624,46.3178,46.3143
0.006248,46.3126,46.3092
0.006256,46.3074,46.304
0.006264,46.3023,46.2989
0.006272,46.2971,46.2937
0.00628,46.292,46.2886
0.006288,46.2868,46.2834
0.006296,46.2817,46.2782
0.006304,46.2765,46.2731
0.006312,46.2714,46.2679
0.00632,46.2662,46.2628
0.006328,46.261,46.2576
0.006336,46.2559,46.2525
0.006344,46.2507,46.2473
0.006352,46.2456,46.2422
0.00636,46.2405,46.237
0.006368,46.2353,46.2319
0.006376,46.2302,46.2267
0.006384,46.225,46.2216
0.006392,46.2199,46.2165
0.0064,46.2147,46.2113
0.006408,46.2096,46.2062
0.006416,46.2045,46.201
0.006424,46.1993,46.1959
0.006432,46.1942,46.1908
0.00644,46.189,46.1856
0.006448,46.1839,46.1805
0.006456,46.1788,46.1754
0.006464,46.1736,46.1702
0.006472,46.1685,46.1651
0.00648,46.1634,46.16
0.006488,46.1583,46.1548
0.006496,46.1531,46.1497
0.006504,46.148,46.1446
0.006512,46.1429,46.1395
0.00652,46.1377,46.1343
0.006528,46.1326,46.1292
0.006536,46.1275,46.1241
0.006544,46.1224,46.119
0.006552,46.1173,46.1139
0.00656,46.1121,46.1087
0.006568,46.107,46.1036
0.006576,46.1019,46.0985
0.006584,46.0968,46.0934
0.006592,46.0917,46.0883
0.0066,46.0866,46.0832
0.006608,46.0814,46.078
0.006616,46.0763,46.0729
0.006624,46.0712,46.0678
0.006632,46.0661,46.0627
0.00664,46.061,46.0576
0.006648,46.0559,46.0525
0.006656,46.0508,46.0474
0.006664,46.0457,46.0423
0.006672,46.0406,46.0372
0.00668,46.0355,46.0321
0.006688,46.0304,46.027
0.006696,46.0253,46.0219
0.006704,46.0202,46.0168
0.006712,46.0151,46.0117
0.00672,46.01,46.0066
0.006728,46.0049,46.0015
0.006736,45.9998,45.9964
0.006744,45.9947,45.9913
0.006752,45.9896,45.9862
0.00676,45.9845,45.9811
0.006768,45.9794,45.976
0.006776,45.9743,45.9709
0.006784,45.9692,45.9659
0.006792,45.9642,45.9608
0.0068,45.9591,45.9557
0.006808,45.954,45.9506
0.006816,45.9489,45.9455
0.006824,45.9438,45.9404
0.006832,45.9387,45.9353
0.00684,45.9337,45.9303
0.006848,45.9286,45.9252
0.006856,45.9235,45.9201
0.006864,45.9184,45.915
0.006872,45.9133,45.91
0.00688,45.9083,45.9049
0.006888,45.9032,45.8998
0.006896,45.8981,45.8947
0.006904,45.893,45.8897
0.006912,45.888,45.8846
0.00692,45.8829,45.8795
0.006928,45.8778,45.8745
0.006936,45.8728,45.8694
0.006944,45.8677,45.8643
0.006952,45.8626,45.8593
0.00696,45.8576,45.8542
0.006968,45.8525,45.8491
0.006976,45.8474,45.8441
0.006984,45.8424,45.839
0.006992,45.8373,45.8339
0.007,45.8323,45.8289
0.007008,45.8272,45.8238
0.007016,45.8221,45.8188
0.007024,45.8171,45.8137
0.007032,45.812,45.8087
0.00704,45.807,45.8036
0.007048,45.8019,45.7986
0.007056,45.7969,45.7935
0.007064,45.7918,45.7885
0.007072,45.7868,45.7834
0.00708,45.7817,45.7784
0.007088,45.7767,45.7733
0.007096,45.7716,45.7683
0.007104,45.7666,45.7632
0.007112,45.7615,45.7582
0.00712,45.7565,45.7531
0.007128,45.7515,45.7481
0.007136,45.7464,45.7431
0.007144,45.7414,45.738
0.007152,45.7363,45.733
0.00716,45.7313,45.7279
0.007168,45.7263,45.7229
0.007176,45.7212,45.7179
0.007184,45.7162,45.7128
0.007192,45.7112,45.7078
0.0072,45.7061,45.7028
0.007208,45.7011,45.6977
0.007216,45.6961,45.6927
0.007224,45.691,45.6877
0.007232,45.686,45.6827
0.00724,45.681,45.6776
0.007248,45.676,45.6726
