x,SolX0,SolXM_2,SolXM
81.5,49.1408,38.3924,35.1093
82,49.3355,38.5868,35.3036
82.5,49.526,38.7773,35.4939
83,49.7126,38.9637,35.6802
83.5,49.8953,39.1463,35.8627
84,50.0742,39.325,36.0414
84.5,50.2493,39.5001,36.2164
85,50.4208,39.6715,36.3877
85.5,50.5887,39.8393,36.5555
86,50.753,40.0036,36.7198
86.5,50.914,40.1646,36.8807
87,51.0716,40.3221,37.0382
87.5,51.2259,40.4764,37.1925
88,51.377,40.6275,37.3436
88.5,51.5249,40.7754,37.4915
89,51.6698,40.9202,37.6363
89.5,51.8116,41.0621,37.7781
90,51.9505,41.2009,37.917
90.5,47.798,41.2143,38.046
91,45.8321,41.0738,38.1513
91.5,44.4208,40.8162,38.2189
92,43.2902,40.4868,38.2391
92.5,42.3364,40.1185,38.2086
93,41.5069,39.7321,38.1288
93.5,40.7706,39.3392,38.0044
94,40.1071,38.9465,37.8413
94.5,39.5019,38.5576,37.6458
95,38.9446,38.1743,37.4241
95.5,38.4271,37.7977,37.1814
96,37.9431,37.4282,36.9226
96.5,37.4876,37.0659,36.6515
97,37.0565,36.711,36.3715
97.5,36.6466,36.3634,36.0855
98,36.2552,36.0229,35.7955
98.5,35.8801,35.6895,35.5035
99,35.5195,35.363,35.211
99.5,35.1719,35.0433,34.9191
100,34.8359,34.7302,34.6288
100.5,34.5106,34.4237,34.341
101,34.1951,34.1235,34.0561
101.5,33.8886,33.8296,33.7747
102,33.5905,33.5418,33.4972
102.5,33.3002,33.26,33.2238
103,33.0174,32.9841,32.9548
103.5,32.7415,32.7139,32.6902
104,32.4723,32.4493,32.4303
104.5,32.2094,32.1903,32.175
105,31.9526,31.9366,31.9244
105.5,31.7017,31.6882,31.6786
106,31.4564,31.445,31.4375
106.5,31.2165,31.2069,31.201
107,30.9819,30.9737,30.9692
107.5,30.7524,30.7454,30.742
108,30.5279,30.5218,30.5194
108.5,30.3082,30.3029,30.3012
109,30.0932,30.0885,30.0875
109.5,29.8828,29.8786,29.8781
110,29.6768,29.6731,29.673
110.5,29.4752,29.4718,29.4721
111,29.2778,29.2748,29.2753
111.5,29.0847,29.0818,29.0825
